AMBAinScope,ResourceType,FriendlyName
yes,Microsoft.OperationalInsights/workspaces,Log Analytics
no,Microsoft.OperationalInsights/querypacks,Log Analytics
no,Microsoft.OperationalInsights/locations,Log Analytics
no,Microsoft.OperationalInsights/locations/operationStatuses,Log Analytics
no,Microsoft.OperationalInsights/workspaces/scopedPrivateLinkProxies,Log Analytics
no,Microsoft.OperationalInsights/workspaces/api,Log Analytics
no,Microsoft.OperationalInsights/workspaces/query,Log Analytics
no,Microsoft.OperationalInsights/workspaces/metadata,Log Analytics
no,Microsoft.OperationalInsights/workspaces/purge,Log Analytics
no,Microsoft.OperationalInsights/workspaces/operations,Log Analytics
no,Microsoft.OperationalInsights/workspaces/dataSources,Log Analytics
no,Microsoft.OperationalInsights/workspaces/linkedStorageAccounts,Log Analytics
no,Microsoft.OperationalInsights/workspaces/tables,Log Analytics
no,Microsoft.OperationalInsights/workspaces/storageInsightConfigs,Log Analytics
no,Microsoft.OperationalInsights/storageInsightConfigs,Log Analytics
no,Microsoft.OperationalInsights/workspaces/linkedServices,Log Analytics
no,Microsoft.OperationalInsights/linkTargets,Log Analytics
no,Microsoft.OperationalInsights/deletedWorkspaces,Log Analytics
no,Microsoft.OperationalInsights/operations,Log Analytics
no,Microsoft.OperationalInsights/clusters,Log Analytics
no,Microsoft.OperationalInsights/workspaces/dataExports,Log Analytics
no,Microsoft.OperationalInsights/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,Log Analytics
yes,microsoft.insights/components,Application Insights
no,microsoft.insights/components/query,Application Insights
no,microsoft.insights/components/metadata,Application Insights
no,microsoft.insights/components/metrics,Application Insights
no,microsoft.insights/components/events,Application Insights
no,microsoft.insights/components/syntheticmonitorlocations,Application Insights
no,microsoft.insights/components/analyticsItems,Application Insights
no,microsoft.insights/components/webtests,Application Insights
no,microsoft.insights/components/workItemConfigs,Application Insights
no,microsoft.insights/components/myFavorites,Application Insights
no,microsoft.insights/components/operations,Application Insights
no,microsoft.insights/components/exportConfiguration,Application Insights
no,microsoft.insights/components/purge,Application Insights
no,microsoft.insights/components/api,Application Insights
no,microsoft.insights/components/aggregate,Application Insights
no,microsoft.insights/components/metricDefinitions,Application Insights
no,microsoft.insights/components/extendQueries,Application Insights
no,microsoft.insights/components/apiKeys,Application Insights
no,microsoft.insights/components/myAnalyticsItems,Application Insights
no,microsoft.insights/components/favorites,Application Insights
no,microsoft.insights/components/defaultWorkItemConfig,Application Insights
no,microsoft.insights/components/annotations,Application Insights
no,microsoft.insights/components/proactiveDetectionConfigs,Application Insights
no,microsoft.insights/components/move,Application Insights
no,microsoft.insights/components/currentBillingFeatures,Application Insights
no,microsoft.insights/components/quotaStatus,Application Insights
no,microsoft.insights/components/featureCapabilities,Application Insights
no,microsoft.insights/components/getAvailableBillingFeatures,Application Insights
no,microsoft.insights/webtests,Application Insights
no,microsoft.insights/webtests/getTestResultFile,Application Insights
yes,microsoft.insights/scheduledqueryrules,Alert Rule
no,microsoft.insights/scheduledqueryrules/networkSecurityPerimeterAssociationProxies,null
no,microsoft.insights/scheduledqueryrules/networkSecurityPerimeterConfigurations,null
no,microsoft.insights/components/pricingPlans,null
no,microsoft.insights/migrateToNewPricingModel,null
no,microsoft.insights/rollbackToLegacyPricingModel,null
no,microsoft.insights/listMigrationdate,null
no,microsoft.insights/logprofiles,null
no,microsoft.insights/migratealertrules,null
yes,microsoft.insights/metricalerts,Metric Alerts
yes,microsoft.insights/alertrules,Alert Rule
yes,microsoft.insights/autoscalesettings,Auto Scale Settings
no,microsoft.insights/eventtypes,null
no,microsoft.insights/locations,null
no,microsoft.insights/locations/operationResults,null
yes,microsoft.insights/vmInsightsOnboardingStatuses,VM Insights Onboarding
no,microsoft.insights/operations,null
yes,microsoft.insights/diagnosticSettings,Diagnostic Settings
no,microsoft.insights/diagnosticSettingsCategories,null
no,microsoft.insights/extendedDiagnosticSettings,null
no,microsoft.insights/metricDefinitions,null
no,microsoft.insights/logDefinitions,null
no,microsoft.insights/eventCategories,null
no,microsoft.insights/metrics,null
no,microsoft.insights/metricbatch,null
no,microsoft.insights/metricNamespaces,null
no,microsoft.insights/notificationstatus,null
no,microsoft.insights/createnotifications,null
no,microsoft.insights/tenantactiongroups,null
yes,microsoft.insights/actiongroups,Action Groups
yes,microsoft.insights/activityLogAlerts,Resource Health Alerts
no,microsoft.insights/metricbaselines,null
no,microsoft.insights/workbooks,null
no,microsoft.insights/workbooktemplates,null
no,microsoft.insights/myWorkbooks,null
no,microsoft.insights/logs,null
no,microsoft.insights/transactions,null
no,microsoft.insights/topology,null
no,microsoft.insights/generateLiveToken,null
no,microsoft.insights/monitoredObjects,null
no,microsoft.insights/dataCollectionRules,null
no,microsoft.insights/dataCollectionRuleAssociations,null
no,microsoft.insights/dataCollectionEndpoints,null
no,microsoft.insights/dataCollectionEndpoints/scopedPrivateLinkProxies,null
no,microsoft.insights/actiongroups/networkSecurityPerimeterAssociationProxies,null
no,microsoft.insights/actiongroups/networkSecurityPerimeterConfigurations,null
no,microsoft.insights/dataCollectionEndpoints/networkSecurityPerimeterAssociationProxies,null
no,microsoft.insights/dataCollectionEndpoints/networkSecurityPerimeterConfigurations,null
yes,microsoft.insights/privateLinkScopes,Private Link Scopes
no,microsoft.insights/privateLinkScopes/privateEndpointConnections,null
no,microsoft.insights/privateLinkScopes/privateEndpointConnectionProxies,null
no,microsoft.insights/privateLinkScopes/scopedResources,null
no,microsoft.insights/components/linkedstorageaccounts,null
no,microsoft.insights/privateLinkScopeOperationStatuses,null
no,microsoft.insights/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null
yes,Microsoft.AlertsManagement/alerts,Alerts
no,Microsoft.AlertsManagement/alertsSummary,null
no,Microsoft.AlertsManagement/smartGroups,null
yes,Microsoft.AlertsManagement/smartDetectorAlertRules,Smart Detector Alert Rules
no,Microsoft.AlertsManagement/migrateFromSmartDetection,null
yes,Microsoft.AlertsManagement/actionRules,Action Rules
no,Microsoft.AlertsManagement/alertsMetaData,null
no,Microsoft.AlertsManagement/prometheusRuleGroups,null
no,Microsoft.AlertsManagement/operations,null
no,Microsoft.AlertsManagement/alertRuleRecommendations,null
no,Microsoft.AlertsManagement/tenantActivityLogAlerts,null
no,Microsoft.AlertsManagement/investigations,null
yes,Microsoft.CognitiveServices/accounts,Cognitive Service
no,Microsoft.CognitiveServices/operations,null
no,Microsoft.CognitiveServices/locations/operationResults,null
no,Microsoft.CognitiveServices/locations,null
no,Microsoft.CognitiveServices/locations/deleteVirtualNetworkOrSubnets,null
no,Microsoft.CognitiveServices/locations/checkSkuAvailability,null
no,Microsoft.CognitiveServices/checkDomainAvailability,null
no,Microsoft.CognitiveServices/accounts/privateLinkResources,null
no,Microsoft.CognitiveServices/accounts/privateEndpointConnections,null
no,Microsoft.CognitiveServices/accounts/privateEndpointConnectionProxies,null
no,Microsoft.CognitiveServices/deletedAccounts,null
no,Microsoft.CognitiveServices/locations/resourceGroups,null
no,Microsoft.CognitiveServices/locations/resourceGroups/deletedAccounts,null
no,Microsoft.CognitiveServices/locations/commitmentTiers,null
no,Microsoft.CognitiveServices/locations/models,null
no,Microsoft.CognitiveServices/locations/usages,null
no,Microsoft.CognitiveServices/locations/raiContentFilters,null
no,Microsoft.CognitiveServices/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null
no,Microsoft.CognitiveServices/accounts/networkSecurityPerimeterAssociationProxies,null
no,Microsoft.CognitiveServices/accounts/encryptionScopes,null
no,Microsoft.CognitiveServices/commitmentPlans,null
no,Microsoft.CognitiveServices/attestations,null
no,Microsoft.CognitiveServices/attestationDefinitions,null
no,Microsoft.Blueprint/blueprints,null
no,Microsoft.Blueprint/blueprints/artifacts,null
no,Microsoft.Blueprint/blueprints/versions,null
no,Microsoft.Blueprint/blueprints/versions/artifacts,null
no,Microsoft.Blueprint/blueprintAssignments,null
no,Microsoft.Blueprint/blueprintAssignments/operations,null
no,Microsoft.Blueprint/blueprintAssignments/assignmentOperations,null
no,Microsoft.Blueprint/operations,null
no,Microsoft.ManagedIdentity/Identities,null
no,Microsoft.ManagedIdentity/userAssignedIdentities,null
no,Microsoft.ManagedIdentity/operations,null
no,Microsoft.ManagedIdentity/userAssignedIdentities/federatedIdentityCredentials,null
yes,Microsoft.Network/virtualNetworkGateways,Virtual Network Gateways
yes,Microsoft.Network/localNetworkGateways,Local Network Gateways
yes,Microsoft.Network/connections,Connections
yes,Microsoft.Network/applicationGateways,Application Gateway
yes,Microsoft.Network/expressRouteCircuits,Expressroute Circuits
no,Microsoft.Network/expressRouteServiceProviders,null
no,Microsoft.Network/applicationGatewayAvailableWafRuleSets,null
no,Microsoft.Network/applicationGatewayAvailableSslOptions,null
no,Microsoft.Network/applicationGatewayAvailableServerVariables,null
no,Microsoft.Network/applicationGatewayAvailableRequestHeaders,null
no,Microsoft.Network/applicationGatewayAvailableResponseHeaders,null
no,Microsoft.Network/routeFilters,null
no,Microsoft.Network/bgpServiceCommunities,null
yes,Microsoft.Network/vpnSites,VPN Sites
yes,Microsoft.Network/vpnServerConfigurations,VPN Server Configurations
yes,Microsoft.Network/virtualHubs,Virtual Hubs
yes,Microsoft.Network/vpnGateways,VPN Gateways
yes,Microsoft.Network/p2sVpnGateways,P2S Gateways
yes,Microsoft.Network/expressRouteGateways,ExpressRoute Gateways
no,Microsoft.Network/expressRoutePortsLocations,null
yes,Microsoft.Network/expressRoutePorts,Expressroute Direct
no,Microsoft.Network/securityPartnerProviders,null
yes,Microsoft.Network/azureFirewalls,Firewall
no,Microsoft.Network/azureFirewallFqdnTags,null
yes,Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies,Application Gateway Web Application Firewall Policy
no,Microsoft.Network/locations/ApplicationGatewayWafDynamicManifests,null
yes,Microsoft.Network/virtualWans,Virtual WANs
no,Microsoft.Network/bastionHosts,null
no,Microsoft.Network/queryExpressRoutePortsBandwidth,null
yes,Microsoft.Network/trafficmanagerprofiles,Traffic Manager
no,Microsoft.Network/trafficmanagerprofiles/heatMaps,null
no,Microsoft.Network/trafficmanagerprofiles/azureendpoints,null
no,Microsoft.Network/trafficmanagerprofiles/externalendpoints,null
no,Microsoft.Network/trafficmanagerprofiles/nestedendpoints,null
no,Microsoft.Network/checkTrafficManagerNameAvailability,null
no,Microsoft.Network/checkTrafficManagerNameAvailabilityV2,null
no,Microsoft.Network/trafficManagerUserMetricsKeys,null
no,Microsoft.Network/trafficManagerGeographicHierarchies,null
yes,Microsoft.Network/expressRouteProviderPorts,ExpressRoute Provider Ports
no,Microsoft.Network/locations/hybridEdgeZone,null
yes,Microsoft.Network/firewallPolicies,Firewall Policies
no,Microsoft.Network/ipGroups,null
no,Microsoft.Network/azureWebCategories,null
no,Microsoft.Network/locations/nfvOperations,null
no,Microsoft.Network/locations/nfvOperationResults,null
yes,Microsoft.Network/virtualRouters,Virtual Routers
No,Microsoft.Network/networkVirtualAppliances,null
No,Microsoft.Network/networkVirtualApplianceSkus,null
no,Microsoft.Network/frontdoorOperationResults,null
no,Microsoft.Network/checkFrontdoorNameAvailability,null
yes,Microsoft.Network/frontdoors,Front door
no,Microsoft.Network/frontdoors/frontendEndpoints,null
no,Microsoft.Network/frontdoors/frontendEndpoints/customHttpsConfiguration,null
yes,Microsoft.Network/frontdoorWebApplicationFirewallPolicies,Web Application Firewall
no,Microsoft.Network/frontdoorWebApplicationFirewallManagedRuleSets,null
no,Microsoft.Network/networkExperimentProfiles,null
yes,Microsoft.Network/dnsResolvers,DNS Resolvers
no,Microsoft.Network/dnsResolvers/inboundEndpoints,null
no,Microsoft.Network/dnsResolvers/outboundEndpoints,null
yes,Microsoft.Network/dnsForwardingRulesets,DNS Forwarding Rule Sets
no,Microsoft.Network/dnsForwardingRulesets/forwardingRules,null
no,Microsoft.Network/dnsForwardingRulesets/virtualNetworkLinks,null
no,Microsoft.Network/virtualNetworks/listDnsResolvers,null
no,Microsoft.Network/virtualNetworks/listDnsForwardingRulesets,null
no,Microsoft.Network/locations/dnsResolverOperationResults,null
no,Microsoft.Network/locations/dnsResolverOperationStatuses,null
no,Microsoft.Network/locations/dnsResolverPolicyOperationResults,null
no,Microsoft.Network/locations/dnsResolverPolicyOperationStatuses,null
yes,Microsoft.Network/networkManagers,Network Managers
no,Microsoft.Network/networkManagerConnections,null
no,Microsoft.Network/networkSecurityPerimeters,null
no,Microsoft.Network/locations/perimeterAssociableResourceTypes,null
no,Microsoft.Network/locations/queryNetworkSecurityPerimeter,null
no,Microsoft.Network/virtualNetworks/listNetworkManagerEffectiveConnectivityConfigurations,null
no,Microsoft.Network/virtualNetworks/listNetworkManagerEffectiveSecurityAdminRules,null
no,Microsoft.Network/networkGroupMemberships,null
no,Microsoft.Network/locations/commitInternalAzureNetworkManagerConfiguration,null
no,Microsoft.Network/locations/internalAzureVirtualNetworkManagerOperation,null
yes,Microsoft.Network/privateDnsZones,Private Dns Zones
no,Microsoft.Network/privateDnsZones/virtualNetworkLinks,null
no,Microsoft.Network/privateDnsOperationResults,null
no,Microsoft.Network/privateDnsOperationStatuses,null
no,Microsoft.Network/privateDnsZonesInternal,null
no,Microsoft.Network/privateDnsZones/A,null
no,Microsoft.Network/privateDnsZones/AAAA,null
no,Microsoft.Network/privateDnsZones/CNAME,null
no,Microsoft.Network/privateDnsZones/PTR,null
no,Microsoft.Network/privateDnsZones/MX,null
no,Microsoft.Network/privateDnsZones/TXT,null
no,Microsoft.Network/privateDnsZones/SRV,null
no,Microsoft.Network/privateDnsZones/SOA,null
no,Microsoft.Network/privateDnsZones/all,null
no,Microsoft.Network/virtualNetworks/privateDnsZoneLinks,null
yes,Microsoft.Network/dnszones,DNS Zones
no,Microsoft.Network/dnsOperationResults,null
no,Microsoft.Network/dnsOperationStatuses,null
no,Microsoft.Network/getDnsResourceReference,null
no,Microsoft.Network/internalNotify,null
no,Microsoft.Network/dnszones/A,null
no,Microsoft.Network/dnszones/AAAA,null
no,Microsoft.Network/dnszones/CNAME,null
no,Microsoft.Network/dnszones/PTR,null
no,Microsoft.Network/dnszones/MX,null
no,Microsoft.Network/dnszones/TXT,null
no,Microsoft.Network/dnszones/SRV,null
no,Microsoft.Network/dnszones/SOA,null
no,Microsoft.Network/dnszones/NS,null
no,Microsoft.Network/dnszones/CAA,null
no,Microsoft.Network/dnszones/DS,null
no,Microsoft.Network/dnszones/TLSA,null
no,Microsoft.Network/dnszones/NAPTR,null
no,Microsoft.Network/dnszones/recordsets,null
no,Microsoft.Network/dnszones/all,null
no,Microsoft.Network/dnszones/dnssecConfigs,null
yes,Microsoft.Network/virtualNetworks,Virtual Networks
no,Microsoft.Network/virtualNetworks/taggedTrafficConsumers,null
yes,Microsoft.Network/natGateways,NAT Gateways
yes,Microsoft.Network/publicIPAddresses,Public Ip
no,Microsoft.Network/internalPublicIpAddresses,null
no,Microsoft.Network/customIpPrefixes,null
no,Microsoft.Network/networkInterfaces,null
no,Microsoft.Network/dscpConfigurations,null
yes,Microsoft.Network/privateEndpoints,Private Endpoints
no,Microsoft.Network/privateEndpoints/privateLinkServiceProxies,null
no,Microsoft.Network/privateEndpointRedirectMaps,null
yes,Microsoft.Network/loadBalancers,Load Balancer
yes,Microsoft.Network/networkSecurityGroups,Network Security Group
yes,Microsoft.Network/applicationSecurityGroups,Application Security Group
no,Microsoft.Network/serviceEndpointPolicies,null
no,Microsoft.Network/networkIntentPolicies,null
yes,Microsoft.Network/routeTables,Route Table
yes,Microsoft.Network/publicIPPrefixes,Public IP Prefixes
yes,Microsoft.Network/networkWatchers,Network Watcher
no,Microsoft.Network/networkWatchers/connectionMonitors,null
yes,Microsoft.Network/networkWatchers/flowLogs,Flow Log
no,Microsoft.Network/networkWatchers/pingMeshes,null
no,Microsoft.Network/locations,null
no,Microsoft.Network/locations/operations,null
no,Microsoft.Network/locations/operationResults,null
no,Microsoft.Network/locations/CheckDnsNameAvailability,null
